date_of_journey,airlines,airlines_code,class,departure,total_stops,arrival,duration_in_minutes,source,destination,price_fare
2024-10-28,Air India,AI-504,Economy,11:53:00,0.0,06:29:00,859.8,Kolkata,Banglore,8202
2024-03-19,Air India,AI-839,Business,13:27:00,1.0,01:47:00,1594.8,Kolkata,Banglore,41113
2024-09-26,Go First,G8-2519,Economy,06:57:00,1.0,21:15:00,850.2,Kolkata,Banglore,6007
2024-08-01,Vistara,UK-927,Premium Economy,06:27:00,1.0,05:12:00,124.80000000000001,Kolkata,Banglore,11646
2024-06-02,Vistara,UK-985,Business,20:41:00,1.0,08:58:00,135.0,Delhi,Cochin,41528
2024-10-16,Indigo,6E-6187,Economy,18:24:00,1.0,23:02:00,285.0,Kolkata,Banglore,11624
2024-03-03,Air India,AI-429,Economy,20:14:00,1.0,14:26:00,454.8,Delhi,Cochin,13221
2024-01-12,Air India,AI-678,Business,02:34:00,0.0,19:53:00,139.8,Banglore,Delhi,25612
2024-12-12,Vistara,UK-801,Business,07:59:00,1.0,13:58:00,694.8,Delhi,Cochin,69673
2024-08-01,Vistara,UK-781,Premium Economy,03:51:00,1.0,07:58:00,1035.0,Delhi,Cochin,15286
2024-10-14,Indigo,6E-2204,Economy,20:17:00,0.0,02:32:00,600.0,Kolkata,Banglore,10405
2024-06-12,Vistara,UK-977,Economy,01:16:00,1.0,07:17:00,135.0,Kolkata,Banglore,6375
2024-05-18,Air India,AI-883,Economy,06:28:00,1.0,07:39:00,610.2,Kolkata,Banglore,8614
2024-06-25,Vistara,UK-955,Premium Economy,20:34:00,0.0,01:49:00,130.2,Delhi,Cochin,15846
2024-08-07,Indigo,G8-194,Economy,14:46:00,1.0,16:01:00,270.0,Kolkata,Banglore,12937
2024-01-09,Vistara,UK-829,Premium Economy,13:54:00,1.0,03:58:00,435.0,Kolkata,Banglore,12168
2024-06-01,Air India,AI-877,Business,03:43:00,1.0,06:22:00,1489.8,Kolkata,Banglore,45459
2024-06-12,Air India,AI-865,Economy,11:31:00,2.0,02:55:00,145.2,Mumbai,Hyderabad,5955
2024-03-15,Indigo,6E-6492,Economy,00:25:00,0.0,22:29:00,400.2,Banglore,Delhi,28500
2024-07-26,Air India,AI-624,Economy,14:04:00,1.0,16:32:00,145.2,Kolkata,Banglore,5955
2024-03-29,Air India,AI-401,Economy,18:39:00,1.0,07:12:00,760.2,Delhi,Cochin,15825
2024-09-22,Go First,G8-286,Economy,13:58:00,0.0,03:10:00,514.8,Kolkata,Banglore,9140
2024-01-06,Air India,AI-403,Business,11:51:00,1.0,20:57:00,1560.0,Kolkata,Banglore,39326
2024-06-08,Vistara,UK-959,Premium Economy,05:26:00,0.0,14:49:00,1425.0,Banglore,Delhi,15992
2024-05-12,Air India,AI-767,Economy,18:01:00,1.0,09:39:00,439.8,Banglore,New Delhi,15825
2024-12-20,Go First,G8-334,Economy,04:56:00,0.0,21:50:00,130.2,Mumbai,Hyderabad,5899
2024-06-30,Vistara,UK-637,Economy,04:00:00,1.0,01:40:00,315.0,Delhi,Cochin,11573
2024-02-21,Vistara,UK-871,Premium Economy,04:00:00,1.0,02:41:00,1590.0,Banglore,New Delhi,21200
2024-05-30,Vistara,UK-637,Premium Economy,22:02:00,1.0,18:43:00,315.0,Kolkata,Banglore,12486
2024-01-20,Vistara,UK-959,Business,12:10:00,1.0,08:49:00,735.0,Banglore,New Delhi,30249
2024-04-25,Vistara,UK-995,Economy,09:56:00,1.0,01:19:00,135.0,Banglore,New Delhi,10155
2024-12-13,Vistara,UK-995,Economy,01:36:00,1.0,17:16:00,135.0,Delhi,Cochin,6218
2024-06-19,Vistara,UK-707,Economy,20:01:00,0.0,11:38:00,364.8,Mumbai,Hyderabad,15825
2024-02-02,Vistara,UK-706,Business,06:51:00,1.0,17:55:00,495.0,Banglore,New Delhi,63289
2024-07-12,Air India,AI-883,Business,04:38:00,2.0,21:04:00,1579.8,Delhi,Cochin,48225
2024-08-08,Air India,AI-885,Economy,12:48:00,2.0,21:17:00,355.2,Kolkata,Banglore,21285
2024-08-28,Vistara,UK-809,Premium Economy,03:32:00,1.0,12:13:00,855.0,Delhi,Cochin,10638
2024-05-26,Indigo,6E-7403,Economy,16:14:00,2.0,10:11:00,310.2,Delhi,Cochin,7395
2024-03-27,Vistara,UK-929,Premium Economy,07:01:00,1.0,18:26:00,535.2,Kolkata,Banglore,15992
2024-09-13,Air India,AI-605,Economy,18:45:00,0.0,16:19:00,135.0,Chennai,Kolkata,5955
2024-01-26,Vistara,UK-941,Premium Economy,07:55:00,1.0,13:13:00,150.0,Delhi,Cochin,7278
2024-05-20,Vistara,UK-871,Business,16:30:00,1.0,10:07:00,694.8,Kolkata,Banglore,41281
2024-05-21,Air India,AI-540,Economy,17:21:00,2.0,17:10:00,799.8,Kolkata,Banglore,11604
2024-01-26,Go First,G8-286,Economy,17:26:00,1.0,15:07:00,859.8,Kolkata,Banglore,17884
2024-03-29,Air India,AI-665,Economy,03:38:00,0.0,22:06:00,139.8,Kolkata,Banglore,5955
2024-07-22,Indigo,6E-2411,Economy,14:06:00,1.0,23:04:00,480.0,Delhi,Cochin,11219
2024-03-04,Air India,AI-439,Business,22:12:00,1.0,18:15:00,990.0,Delhi,Cochin,50969
2024-03-25,Air India,AI-803,Economy,07:01:00,1.0,04:56:00,919.8,Delhi,Cochin,7415
2024-10-21,Vistara,UK-959,Business,23:08:00,1.0,01:52:00,1425.0,Delhi,Cochin,30249
2024-02-02,Air India,AI-512,Economy,06:40:00,2.0,04:57:00,790.2,Banglore,New Delhi,7415
2024-01-03,Air India,AI-814,Business,18:17:00,0.0,00:44:00,135.0,Mumbai,Hyderabad,22152
2024-03-29,Air India,AI-807,Economy,04:03:00,0.0,03:03:00,385.2,Banglore,New Delhi,8517
2024-03-15,Indigo,G8-286,Economy,08:09:00,1.0,10:43:00,270.0,Delhi,Cochin,9314
2024-12-15,Indigo,6E-6492,Economy,14:14:00,1.0,11:36:00,400.2,Kolkata,Banglore,14879
2024-02-29,Air Asia,I5-740,Economy,05:54:00,2.0,19:20:00,990.0,Kolkata,Banglore,4827
2024-09-16,Air India,AI-537,Business,23:31:00,0.0,17:30:00,450.0,Banglore,Delhi,50969
2024-06-06,Air India,AI-537,Economy,00:31:00,2.0,21:23:00,450.0,Delhi,Cochin,9609
2024-02-12,Vistara,UK-829,Business,20:58:00,0.0,02:27:00,435.0,Banglore,New Delhi,66481
2024-02-21,Go First,G8-286,Economy,06:04:00,2.0,20:07:00,865.2,Delhi,Cochin,8740
2024-07-26,Vistara,UK-945,Economy,22:07:00,1.0,16:23:00,135.0,Banglore,New Delhi,5955
2024-08-29,Indigo,6E-2411,Economy,02:26:00,2.0,18:33:00,480.0,Delhi,Cochin,10228
2024-03-22,Air India,AI-814,Business,03:06:00,1.0,20:24:00,135.0,Delhi,Cochin,22152
2024-04-05,Vistara,UK-929,Economy,06:19:00,0.0,03:13:00,739.8,Banglore,Delhi,11730
2024-08-12,Air India,AI-542,Business,05:53:00,0.0,10:46:00,310.2,Banglore,Delhi,41113
2024-03-16,Go First,G8-194,Economy,21:30:00,1.0,06:09:00,630.0,Kolkata,Banglore,11546
2024-05-16,Air India,AI-406,Business,13:02:00,2.0,11:27:00,334.8,Kolkata,Banglore,44025
2024-07-24,Air India,AI-807,Business,20:55:00,1.0,01:52:00,940.2,Delhi,Cochin,53164
2024-06-12,Air India,AI-560,Business,12:24:00,1.0,03:25:00,465.0,Delhi,Cochin,45033
2024-02-18,Vistara,UK-813,Economy,22:52:00,1.0,23:32:00,349.8,Delhi,Cochin,13305
2024-07-23,Air India,AI-554,Economy,08:49:00,1.0,02:44:00,709.8,Banglore,New Delhi,10449
2024-02-13,Indigo,6E-2075,Economy,22:20:00,1.0,11:35:00,115.19999999999999,Kolkata,Banglore,7319
2024-12-25,Air India,AI-441,Economy,11:37:00,0.0,05:50:00,145.2,Delhi,Cochin,5955
2024-12-29,Vistara,UK-707,Business,18:58:00,1.0,10:10:00,364.8,Delhi,Cochin,69113
2024-01-23,Vistara,UK-673,Economy,15:23:00,2.0,07:16:00,310.2,Banglore,New Delhi,10592
2024-08-09,Air India,AI-887,Economy,00:07:00,1.0,15:06:00,135.0,Kolkata,Banglore,5955
2024-01-09,Air India,AI-636,Business,23:33:00,0.0,11:36:00,225.0,Mumbai,Hyderabad,22152
2024-02-29,Air India,AI-665,Economy,01:48:00,0.0,21:43:00,139.8,Banglore,New Delhi,5955
2024-11-03,Vistara,UK-829,Economy,22:58:00,1.0,06:39:00,435.0,Delhi,Cochin,10050
2024-03-07,Air India,AI-624,Business,21:03:00,2.0,05:30:00,145.2,Kolkata,Banglore,22152
2024-08-18,Go First,G8-717,Economy,06:15:00,0.0,12:09:00,235.2,Mumbai,Hyderabad,5962
2024-12-22,Vistara,UK-707,Economy,08:36:00,1.0,18:24:00,364.8,Delhi,Cochin,15510
2024-12-18,Indigo,6E-6822,Economy,15:37:00,2.0,21:57:00,520.2,Kolkata,Banglore,10049
2024-11-13,Go First,G8-717,Economy,15:17:00,0.0,03:01:00,235.2,Banglore,Delhi,19146
2024-07-13,Indigo,6E-2033,Economy,04:01:00,1.0,14:14:00,370.2,Delhi,Cochin,7205
2024-12-15,Vistara,UK-979,Premium Economy,00:08:00,1.0,01:45:00,1009.8,Delhi,Cochin,22432
2024-05-26,Vistara,UK-879,Premium Economy,04:48:00,1.0,18:06:00,880.2,Kolkata,Banglore,20080
2024-11-12,Vistara,UK-815,Premium Economy,07:21:00,0.0,20:15:00,724.8,Banglore,Delhi,10638
2024-03-15,Indigo,6E-2033,Economy,07:26:00,1.0,14:37:00,495.0,Delhi,Cochin,7087
2024-10-04,Go First,G8-719,Economy,18:01:00,2.0,14:45:00,255.0,Delhi,Cochin,6196
2024-11-28,Go First,G8-213,Economy,02:54:00,1.0,14:25:00,379.8,Delhi,Cochin,27713
2024-07-09,Vistara,UK-871,Economy,10:41:00,0.0,08:43:00,694.8,Banglore,New Delhi,11520
2024-02-07,Go First,G8-2519,Economy,02:35:00,1.0,07:40:00,850.2,Delhi,Cochin,6007
2024-10-24,Air India,AI-401,Business,10:55:00,1.0,21:23:00,820.2,Delhi,Cochin,59033
2024-04-02,Vistara,UK-929,Premium Economy,06:31:00,2.0,21:28:00,739.8,Delhi,Cochin,11288
2024-02-16,Indigo,6E-6022,Economy,15:49:00,1.0,11:22:00,330.0,Delhi,Cochin,8369
2024-02-20,Vistara,UK-929,Economy,08:31:00,2.0,08:56:00,535.2,Delhi,Cochin,5351
2024-11-12,Go First,G8-237,Economy,22:03:00,2.0,02:18:00,585.0,Delhi,Cochin,6007
2024-05-12,Air India,AI-544,Economy,08:40:00,1.0,01:24:00,1324.8,Banglore,New Delhi,9489
2024-03-06,Vistara,UK-993,Premium Economy,00:21:00,0.0,09:09:00,130.2,Mumbai,Hyderabad,15846
2024-07-16,Air India,AI-542,Economy,03:55:00,0.0,22:53:00,310.2,Banglore,Delhi,11625
2024-08-25,Air India,AI-537,Business,03:26:00,1.0,15:31:00,364.8,Kolkata,Banglore,50969
2024-07-13,Go First,G8-194,Economy,06:27:00,1.0,21:22:00,885.0,Kolkata,Banglore,11545
2024-03-04,Vistara,UK-951,Economy,05:57:00,2.0,22:41:00,130.2,Banglore,New Delhi,5955
2024-03-11,Indigo,6E-6822,Economy,09:16:00,1.0,21:16:00,520.2,Kolkata,Banglore,14512
2024-09-11,Vistara,UK-979,Premium Economy,15:01:00,1.0,12:25:00,319.8,Banglore,New Delhi,15992
2024-09-22,Vistara,UK-635,Premium Economy,00:54:00,1.0,13:01:00,289.8,Delhi,Cochin,25120
2024-02-18,Vistara,UK-707,Economy,19:43:00,1.0,00:50:00,364.8,Delhi,Cochin,17084
2024-08-12,Vistara,UK-995,Premium Economy,22:08:00,1.0,20:12:00,135.0,Delhi,Cochin,7838
2024-06-28,Vistara,UK-879,Business,06:33:00,1.0,17:31:00,334.8,Delhi,Cochin,41281
2024-03-14,Air Asia,I5-740,Economy,14:45:00,0.0,14:16:00,769.8,Banglore,Delhi,5291
2024-11-09,Indigo,6E-607,Economy,07:37:00,2.0,12:06:00,595.2,Kolkata,Banglore,8048
2024-03-25,Air India,AI-554,Economy,04:04:00,1.0,01:47:00,625.2,Banglore,New Delhi,10281
2024-05-08,Vistara,UK-859,Economy,09:32:00,1.0,15:53:00,385.2,Kolkata,Banglore,22398
2024-04-06,Vistara,UK-899,Premium Economy,20:56:00,1.0,17:56:00,1155.0,Kolkata,Banglore,15842
2024-07-01,Vistara,UK-673,Economy,05:05:00,1.0,14:24:00,310.2,Delhi,Cochin,10539
2024-03-24,Air India,AI-439,Economy,08:17:00,2.0,23:47:00,694.8,Delhi,Cochin,11121
2024-07-16,Vistara,UK-815,Premium Economy,23:46:00,1.0,15:50:00,810.0,Delhi,Cochin,10638
2024-12-22,Indigo,6E-607,Economy,10:32:00,1.0,19:44:00,595.2,Banglore,New Delhi,7263
2024-02-10,Go First,G8-286,Economy,00:25:00,1.0,11:33:00,859.8,Delhi,Cochin,14985
2024-10-02,Vistara,UK-819,Business,05:48:00,1.0,15:23:00,364.8,Delhi,Cochin,72938
2024-02-13,Vistara,UK-817,Economy,12:50:00,1.0,04:05:00,334.8,Delhi,Cochin,12150
2024-10-10,Vistara,UK-781,Economy,20:39:00,0.0,07:08:00,1035.0,Banglore,New Delhi,12570
2024-11-30,Vistara,UK-975,Economy,06:44:00,0.0,18:36:00,135.0,Banglore,Delhi,6795
2024-07-08,Air India,AI-429,Economy,06:43:00,0.0,13:30:00,454.8,Banglore,Delhi,12486
2024-08-30,Air India,AI-433,Economy,12:56:00,1.0,21:14:00,1620.0,Delhi,Cochin,8862
2024-09-18,Vistara,UK-955,Economy,02:47:00,1.0,07:19:00,130.2,Delhi,Cochin,5955
2024-01-28,Vistara,UK-813,Business,09:18:00,1.0,01:25:00,349.8,Delhi,Cochin,69673
2024-01-16,Vistara,UK-637,Premium Economy,12:42:00,2.0,12:39:00,1110.0,Delhi,Cochin,13830
2024-08-04,Vistara,UK-879,Premium Economy,21:28:00,0.0,19:44:00,1260.0,Banglore,Delhi,15118
2024-01-26,Vistara,UK-871,Premium Economy,02:15:00,1.0,08:24:00,1075.2,Delhi,Cochin,12262
2024-08-13,Vistara,UK-993,Business,20:59:00,1.0,19:58:00,130.2,Kolkata,Banglore,41528
2024-08-18,Air India,AI-560,Economy,06:00:00,0.0,06:11:00,465.0,Banglore,Delhi,7704
2024-10-19,Air India,AI-678,Business,08:31:00,1.0,04:47:00,139.8,Delhi,Cochin,22152
2024-06-18,Air India,AI-481,Economy,01:18:00,1.0,19:31:00,814.8,Delhi,Cochin,19710
2024-10-29,Indigo,6E-6034,Economy,22:09:00,0.0,04:06:00,304.8,Mumbai,Hyderabad,7176
2024-07-11,Vistara,UK-957,Economy,07:54:00,1.0,10:13:00,135.0,Delhi,Cochin,11730
2024-10-15,Air India,AI-540,Economy,17:58:00,0.0,14:23:00,690.0,Banglore,Delhi,9609
2024-07-27,Air Asia,I5-1228,Economy,07:16:00,2.0,07:03:00,570.0,Delhi,Cochin,6872
2024-03-11,Vistara,UK-929,Premium Economy,11:40:00,0.0,06:04:00,739.8,Banglore,New Delhi,15992
2024-03-31,Indigo,6E-2208,Economy,16:20:00,1.0,19:53:00,520.2,Kolkata,Banglore,5785
2024-10-17,Air India,AI-544,Business,04:16:00,2.0,04:59:00,1324.8,Banglore,New Delhi,41113
2024-01-02,Vistara,UK-995,Business,21:02:00,1.0,17:43:00,135.0,Delhi,Cochin,22152
2024-03-28,Vistara,UK-627,Business,07:31:00,2.0,16:42:00,1590.0,Mumbai,Hyderabad,42457
2024-04-09,Vistara,UK-933,Economy,17:28:00,0.0,07:41:00,124.80000000000001,Banglore,Delhi,10155
2024-10-09,Vistara,UK-819,Premium Economy,04:47:00,2.0,21:35:00,364.8,Banglore,New Delhi,10638
2024-09-08,Air India,AI-678,Business,03:23:00,1.0,16:31:00,139.8,Delhi,Cochin,22152
2024-09-06,Vistara,UK-979,Business,06:23:00,0.0,22:33:00,1215.0,Chennai,Kolkata,30249
2024-08-13,Vistara,UK-951,Business,17:13:00,1.0,12:11:00,130.2,Delhi,Cochin,56860
2024-10-22,Air India,AI-813,Business,12:30:00,0.0,03:44:00,810.0,Banglore,New Delhi,53164
2024-01-12,Air India,AI-481,Business,11:49:00,0.0,04:13:00,814.8,Banglore,Delhi,31462
2024-06-25,Air India,AI-544,Business,06:23:00,1.0,07:27:00,1324.8,Delhi,Cochin,41113
2024-01-19,Air India,AI-433,Economy,15:55:00,1.0,03:45:00,1620.0,Kolkata,Banglore,8337
2024-08-18,Air India,AI-839,Economy,23:43:00,0.0,20:55:00,1045.2,Delhi,Cochin,8649
2024-04-20,Vistara,UK-859,Business,23:01:00,2.0,02:00:00,1410.0,Mumbai,Hyderabad,41281
2024-02-25,Vistara,UK-705,Economy,07:33:00,1.0,19:15:00,960.0,Delhi,Cochin,18765
2024-06-28,Go First,G8-119,Economy,10:19:00,0.0,21:05:00,810.0,Banglore,Delhi,13511
2024-04-13,Vistara,UK-781,Economy,15:45:00,1.0,01:02:00,1035.0,Kolkata,Banglore,12304
2024-10-02,Vistara,UK-811,Premium Economy,21:39:00,0.0,03:51:00,964.8,Mumbai,Hyderabad,11943
2024-03-13,Vistara,UK-811,Business,07:46:00,0.0,02:09:00,349.8,Delhi,Cochin,60713
2024-02-12,Vistara,UK-979,Economy,00:28:00,2.0,00:34:00,1009.8,Delhi,Cochin,19297
2024-03-29,Vistara,UK-979,Business,02:32:00,1.0,23:42:00,1215.0,Banglore,New Delhi,30249
2024-07-08,Vistara,UK-829,Premium Economy,13:08:00,2.0,11:41:00,435.0,Banglore,New Delhi,12262
2024-08-18,Air India,AI-473,Economy,21:49:00,0.0,15:33:00,1035.0,Banglore,Delhi,9999
2024-07-20,Indigo,6E-6492,Economy,07:07:00,0.0,23:49:00,540.0,Banglore,Delhi,8188
2024-09-20,Indigo,6E-2411,Economy,00:22:00,1.0,21:07:00,550.2,Delhi,Cochin,9848
2024-11-19,Go First,G8-101,Economy,04:02:00,0.0,15:15:00,934.8,Banglore,New Delhi,6007
2024-09-16,Indigo,6E-607,Economy,08:11:00,0.0,20:59:00,570.0,Kolkata,Banglore,5398
2024-01-05,Vistara,UK-859,Premium Economy,09:05:00,0.0,22:26:00,1305.0,Kolkata,Banglore,12822
2024-10-01,Go First,G8-194,Economy,19:29:00,0.0,21:53:00,630.0,Banglore,New Delhi,8740
2024-12-19,Air India,AI-504,Economy,06:08:00,0.0,22:23:00,1459.8,Mumbai,Hyderabad,7690
2024-02-06,Go First,G8-101,Economy,14:18:00,2.0,08:46:00,825.0,Delhi,Cochin,6007
2024-05-15,Indigo,UK-811,Economy,02:39:00,2.0,20:41:00,540.0,Delhi,Cochin,7073
2024-06-11,Air Asia,I5-745,Economy,13:39:00,1.0,08:02:00,400.2,Delhi,Cochin,4827
2024-09-23,Vistara,UK-943,Business,12:45:00,2.0,19:45:00,130.2,Delhi,Cochin,22152
2024-08-01,Indigo,6E-6034,Economy,01:53:00,1.0,16:15:00,304.8,Banglore,New Delhi,6294
2024-11-08,Air India,AI-801,Economy,01:45:00,0.0,13:05:00,469.8,Banglore,Delhi,15930
2024-01-01,Vistara,UK-969,Business,00:38:00,0.0,23:18:00,940.2,Banglore,Delhi,22297
2024-02-16,Indigo,6E-2716,Economy,16:35:00,0.0,17:56:00,135.0,Chennai,Kolkata,5899
2024-02-24,Vistara,UK-855,Business,01:34:00,1.0,02:48:00,334.8,Kolkata,Banglore,56972
2024-07-04,Vistara,UK-829,Premium Economy,22:08:00,1.0,22:43:00,949.8,Delhi,Cochin,23753
2024-12-19,Vistara,UK-801,Premium Economy,06:05:00,1.0,11:41:00,694.8,Delhi,Cochin,10638
2024-12-23,Indigo,6E-2204,Economy,17:25:00,0.0,18:57:00,270.0,Delhi,Cochin,12937
2024-09-24,Air India,AI-839,Economy,17:28:00,1.0,01:06:00,745.2,Delhi,Cochin,9489
2024-09-16,Indigo,UK-879,Economy,18:03:00,1.0,18:12:00,270.0,Delhi,Cochin,12884
2024-10-01,Vistara,UK-801,Business,12:44:00,0.0,21:07:00,694.8,Banglore,Delhi,65501
2024-05-08,Air India,AI-429,Business,08:30:00,2.0,06:20:00,835.2,Delhi,Cochin,50969
2024-05-04,Air India,AI-453,Business,01:29:00,2.0,13:40:00,775.2,Delhi,Cochin,35532
2024-12-13,Air India,AI-762,Economy,00:07:00,1.0,03:29:00,985.2,Delhi,Cochin,15195
2024-06-28,Vistara,UK-839,Business,12:42:00,0.0,12:49:00,529.8,Banglore,Delhi,51384
2024-06-04,Air India,AI-433,Economy,17:49:00,0.0,19:46:00,1620.0,Chennai,Kolkata,8337
2024-11-22,Vistara,UK-899,Premium Economy,16:46:00,0.0,17:15:00,1429.8,Mumbai,Hyderabad,21200
2024-08-07,Air India,AI-406,Business,11:26:00,1.0,14:52:00,334.8,Kolkata,Banglore,56418
2024-12-15,Go First,G8-713,Economy,19:49:00,1.0,05:34:00,735.0,Delhi,Cochin,5416
2024-03-09,Vistara,UK-871,Premium Economy,13:28:00,1.0,04:36:00,799.8,Delhi,Cochin,12168
2024-03-22,Air India,AI-512,Business,13:56:00,0.0,05:07:00,790.2,Mumbai,Hyderabad,53164
2024-03-29,Vistara,UK-747,Economy,22:33:00,0.0,12:58:00,390.0,Banglore,Delhi,14670
2024-05-09,Air India,AI-453,Business,05:35:00,1.0,13:14:00,775.2,Kolkata,Banglore,35532
2024-02-21,Air Asia,I5-1228,Economy,12:33:00,2.0,10:52:00,570.0,Delhi,Cochin,4827
2024-12-13,Indigo,6E-2025,Economy,18:53:00,1.0,06:22:00,370.2,Delhi,Cochin,5954
2024-03-04,Air India,AI-863,Business,22:35:00,1.0,04:27:00,139.8,Delhi,Cochin,22152
2024-06-26,Indigo,6E-2216,Economy,22:07:00,1.0,03:25:00,505.2,Kolkata,Banglore,13357
2024-06-19,Air Asia,I5-1228,Economy,23:31:00,1.0,10:11:00,910.2,Delhi,Cochin,4827
2024-08-17,Air India,AI-406,Economy,22:23:00,1.0,20:01:00,334.8,Delhi,Cochin,12045
2024-10-30,Vistara,UK-929,Economy,17:58:00,0.0,17:36:00,535.2,Kolkata,Banglore,5876
2024-11-08,Vistara,UK-817,Business,14:39:00,1.0,09:29:00,334.8,Banglore,New Delhi,53164
2024-09-11,Air India,AI-401,Business,12:19:00,0.0,02:54:00,820.2,Chennai,Kolkata,61273
2024-12-08,Vistara,UK-985,Premium Economy,08:57:00,2.0,07:23:00,135.0,Delhi,Cochin,15846
2024-11-07,Spicejet,SG-8709,Economy,15:52:00,1.0,10:09:00,124.80000000000001,Delhi,Cochin,7633
2024-03-04,Vistara,UK-855,Economy,21:50:00,1.0,02:11:00,334.8,Banglore,New Delhi,14985
2024-06-10,Air India,AI-624,Business,05:36:00,2.0,23:02:00,145.2,Delhi,Cochin,49020
2024-05-03,Vistara,UK-819,Economy,09:30:00,1.0,05:50:00,550.2,Kolkata,Banglore,8291
2024-11-09,Air India,AI-624,Economy,08:22:00,2.0,12:26:00,145.2,Delhi,Cochin,5955
2024-07-31,Vistara,UK-933,Economy,03:26:00,1.0,03:12:00,124.80000000000001,Delhi,Cochin,5955
2024-10-22,Indigo,6E-2033,Economy,04:51:00,0.0,06:54:00,370.2,Banglore,Delhi,8999
2024-01-21,Vistara,UK-969,Premium Economy,03:38:00,0.0,22:31:00,735.0,Banglore,Delhi,7984
2024-08-08,Air Asia,I5-773,Economy,20:36:00,1.0,21:33:00,655.2,Kolkata,Banglore,6375
2024-07-15,Air India,AI-512,Business,08:29:00,0.0,10:46:00,790.2,Banglore,Delhi,53164
2024-06-25,Vistara,UK-811,Premium Economy,14:00:00,1.0,03:41:00,964.8,Delhi,Cochin,10638
2024-07-08,Vistara,UK-979,Business,16:11:00,1.0,00:52:00,1009.8,Kolkata,Banglore,22297
2024-09-23,Air Asia,I5-740,Economy,14:39:00,0.0,12:42:00,990.0,Kolkata,Banglore,4827
2024-09-16,Air Asia,I5-745,Economy,10:25:00,0.0,22:41:00,885.0,Mumbai,Hyderabad,13362
2024-07-18,Go First,G8-330,Economy,08:18:00,2.0,02:40:00,135.0,Delhi,Cochin,5801
2024-01-27,Vistara,UK-829,Economy,11:23:00,1.0,13:28:00,435.0,Kolkata,Banglore,10313
2024-01-04,Vistara,UK-859,Economy,11:41:00,0.0,00:01:00,760.2,Mumbai,Hyderabad,10628
2024-10-08,Vistara,UK-957,Premium Economy,22:48:00,1.0,10:19:00,135.0,Delhi,Cochin,7278
2024-09-19,Vistara,UK-635,Economy,21:54:00,1.0,16:37:00,289.8,Kolkata,Banglore,12045
2024-09-01,Vistara,UK-817,Premium Economy,22:28:00,1.0,12:59:00,435.0,Delhi,Cochin,10638
2024-12-13,Air India,AI-887,Economy,03:33:00,1.0,12:15:00,135.0,Delhi,Cochin,5955
2024-09-22,Vistara,UK-815,Business,05:58:00,1.0,22:21:00,750.0,Kolkata,Banglore,83886
2024-09-07,Indigo,6E-6475,Economy,05:51:00,0.0,17:39:00,274.8,Kolkata,Banglore,7275
2024-02-15,Air India,AI-839,Business,21:20:00,0.0,01:01:00,1045.2,Kolkata,Banglore,41113
2024-07-16,Vistara,UK-837,Premium Economy,06:39:00,1.0,13:55:00,1090.2,Kolkata,Banglore,11888
2024-12-24,Vistara,UK-781,Economy,15:49:00,0.0,13:44:00,1035.0,Mumbai,Hyderabad,15668
2024-09-01,Air India,AI-807,Economy,22:49:00,0.0,10:01:00,379.8,Banglore,Delhi,7415
2024-10-30,Air India,AI-512,Business,12:41:00,1.0,11:18:00,964.8,Delhi,Cochin,53164
2024-09-18,Vistara,UK-747,Economy,11:31:00,1.0,05:15:00,390.0,Kolkata,Banglore,15248
2024-12-05,Indigo,6E-5218,Economy,18:50:00,0.0,09:53:00,135.0,Kolkata,Banglore,5794
2024-02-19,Vistara,UK-787,Business,00:11:00,2.0,03:02:00,859.8,Kolkata,Banglore,39870
2024-11-08,Air India,AI-481,Business,16:59:00,1.0,12:19:00,814.8,Delhi,Cochin,31462
2024-01-01,Vistara,UK-747,Economy,12:17:00,1.0,05:30:00,390.0,Kolkata,Banglore,20235
2024-11-30,Go First,G8-259,Economy,18:58:00,2.0,18:28:00,670.2,Kolkata,Banglore,16583
2024-09-07,Vistara,UK-809,Business,21:46:00,0.0,01:58:00,745.2,Kolkata,Banglore,77222
2024-04-03,Vistara,UK-957,Premium Economy,22:39:00,2.0,11:42:00,135.0,Delhi,Cochin,7278
2024-01-04,Go First,G8-113,Economy,23:29:00,2.0,03:18:00,990.0,Delhi,Cochin,6873
2024-01-23,Vistara,UK-785,Business,20:12:00,2.0,00:30:00,1065.0,Delhi,Cochin,39870
2024-01-30,Go First,G8-184,Economy,17:19:00,1.0,23:34:00,385.2,Delhi,Cochin,11754
2024-04-03,Air India,AI-502,Economy,02:41:00,2.0,07:17:00,480.0,Delhi,Cochin,7415
2024-09-29,Go First,G8-286,Economy,07:13:00,2.0,12:40:00,874.8,Delhi,Cochin,9267
2024-04-01,Indigo,6E-319,Economy,20:18:00,2.0,21:40:00,375.0,Kolkata,Banglore,17347
2024-04-14,Spicejet,SG-8709,Economy,01:34:00,1.0,10:00:00,124.80000000000001,Kolkata,Banglore,5794
2024-09-05,Air India,AI-839,Business,10:33:00,1.0,15:27:00,1594.8,Delhi,Cochin,41113
2024-01-11,Go First,G8-286,Economy,00:23:00,0.0,05:17:00,525.0,Banglore,Delhi,8740
2024-01-08,Vistara,UK-839,Economy,21:21:00,0.0,07:44:00,1324.8,Banglore,New Delhi,12203
2024-09-28,Vistara,UK-955,Premium Economy,00:11:00,0.0,12:19:00,130.2,Banglore,Delhi,7838
